BUILDING ADDRESS,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),ENERGY STAR SCORE,GROSS BUILDING FLOOR AREA (ft²),PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),TOTAL WATER USE (kgal),YEAR BUILT
817 S WESTERN AVE,9.3,Not Available,56068.0,Retail Store,2.3,5168.1,1979.0
8888 VENICE BLVD,126.8,Not Available,85111.0,Mixed Use Property,21.2,1090.7,1960.0
330 S BERENDO ST,114.2,89,88101.0,Multifamily Housing,31.5,4446.4,1972.0
2200 W PICO BLVD,18,Not Available,16583.0,Other - Lodging/Residential,15.4,2179.8,1905.0
441 W 3RD ST,141.9,95,59279.0,Multifamily Housing,39.7,2249.4,1987.0
9919 DE SOTO AVE,78.4,100,25972.0,Multifamily Housing,49.9,1879.1,1964.0
1 WORLD WAY,295.3,86,98687.0,Office,48.1,1578.5,1967.0
10635 W VANOWEN ST,67.5,Not Available,31037.0,Manufacturing/Industrial Plant,36.6,227.4,1965.0
9326 EXPOSITION BLVD,83.3,19,26222.0,Multifamily Housing,55.7,1037.5,1986.0
338 S ARDMORE AVE,87.7,54,36489.0,Multifamily Housing,39.7,1632.2,1972.0
11330 OTSEGO ST,168.9,61,68228.0,Multifamily Housing,40.3,3702.1,1997.0
915 S CARONDELET ST,96,79,31500.0,Multifamily Housing,50.9,2429.7,1914.0
731 S AVERILL AVE,22.5,61,24400.0,Worship Facility,21.6,129.2,1950.0
918 S OXFORD AVE,465.2,100,238195.0,Multifamily Housing,31.5,7688.5,2008.0
304 S MANHATTAN PL,37.8,98,34190.0,Multifamily Housing,15.6,3235.8,1929.0
21101 VICTORY BLVD,187.3,64,53176.0,Office,56.6,1175.2,1979.0
22930 LOCKNESS AVE,5.1,Not Available,38000.0,Non-Refrigerated Warehouse,2.0,22.9,1987.0
1026 INGRAHAM ST,53.6,93,21136.0,Multifamily Housing,43.5,974.7,1922.0
14426 ADDISON ST,37.4,100,23369.0,Multifamily Housing,29.5,1168.1,1962.0
6454 VAN NUYS BLVD,180,17,28062.0,Office,91.1,1032.3,1980.0
15855 SATICOY ST,71.2,63,25998.0,Multifamily Housing,47.6,2722.2,1963.0
742 S HILL ST,98.7,100,100800.0,Office,13.9,2032.5,1930.0
4410 W MARTIN LUTHER KING JR BLVD,29.6,Not Available,32920.0,Multifamily Housing,16.2,1843.0,1955.0
4100 S VERMONT AVE,57.4,83,28811.0,Multifamily Housing,32.9,2022.7,1998.0
18400 VALERIO ST,94,96,34029.0,Multifamily Housing,45.6,2170.1,1964.0
6650 FRANKLIN AVE,214.8,69,71437.0,Multifamily Housing,48.0,3589.2,1980.0
20320 PRAIRIE ST,1658,Not Available,72000.0,Manufacturing/Industrial Plant,384.0,23504.1,1980.0
1028 N MARIPOSA AVE,27.3,100,13444.0,Multifamily Housing,37.8,2442.7,1963.0
6856 VAN NUYS BLVD,12.1,Not Available,4500.0,Retail Store,38.1,45.6,1970.0
1707 E 20TH ST,4.5,97,28800.0,Non-Refrigerated Warehouse,2.4,49.4,1968.0
5031 FAIR AVE,734.3,100,606030.0,Multifamily Housing,19.6,9256.4,2014.0
3130 WILSHIRE BLVD,150.6,89,71969.0,Office,30.4,694.9,1968.0
15101 RAYMER ST,12.7,Not Available,100870.0,Self-Storage Facility,2.0,311.0,2009.0
5932 W CENTURY BLVD,115.5,Not Available,31064.0,Other,59.8,624.0,1997.0
4240 GLENCOE AVE,209.4,65,81807.0,Multifamily Housing,41.6,5311.5,1998.0
21241 VENTURA BLVD,171.5,62,53356.0,Office,49.8,733.8,1972.0
680 KNOX ST,156.3,66,48629.0,Office,46.6,181.0,1984.0
726 S BONNIE BRAE ST,86.1,82,46746.0,Multifamily Housing,29.2,2593.5,1990.0
4922 LONG BEACH AVE,20.7,97,200000.0,Distribution Center,5.9,421.9,1925.0
7466 LAUREL CANYON BLVD,65,84,21170.0,Multifamily Housing,51.7,1576.9,1989.0
109 S NORMANDIE AVE,73.5,52,23084.0,Multifamily Housing,54.1,1475.9,1929.0
303 S VAN NESS AVE,79.2,97,50140.0,Multifamily Housing,26.1,2704.2,2015.0
4940 N PASO ROBLES AVE,130.5,96,91152.0,Multifamily Housing,22.4,2288.8,2014.0
4341 EAGLE ROCK BLVD,64.4,Not Available,22450.0,Multifamily Housing,47.6,2056.4,1979.0
21111 PLUMMER ST,279.9,Not Available,63000.0,Manufacturing/Industrial Plant,65.7,1127.1,1963.0
236 S LOS ANGELES ST,361.5,100,238429.0,Multifamily Housing,26.0,7977.4,2013.0
2250 PARKSIDE AVE,277.2,22,68948.0,Multifamily Housing,67.1,10.4,2013.0
1223 N LAS PALMAS AVE,128.8,2,31913.0,Multifamily Housing,67.8,2313.7,1989.0
7833 CANOGA AVE,26.2,Not Available,20160.0,Manufacturing/Industrial Plant,18.4,42.6,1975.0
6221 WILSHIRE BLVD,325.5,26,55488.0,Office,92.0,1588.1,1957.0
4419 FULTON AVE,121.1,79,52253.0,Multifamily Housing,40.2,1692.1,1961.0
7257 W SUNSET BLVD,593.8,68,48657.0,Supermarket/Grocery Store,175.8,3335.1,1998.0
1539 N ALEXANDRIA AVE,1080.4,Not Available,24531.0,Multifamily Housing,625.2,1579.9,1964.0
20833 VENTURA BLVD,11.3,Not Available,20055.0,Strip Mall,8.5,457.8,1978.0
8575 W 3RD ST,76.7,Not Available,614449.0,Parking,1.9,1716.0,1990.0
8334 WILLIS AVE,85.1,60,29823.0,Multifamily Housing,48.2,2890.5,1962.0
145 W 108TH ST,299.7,Not Available,34400.0,Police Station,136.4,1581.8,1990.0
7947 RESEDA BLVD,194,32,57477.0,Multifamily Housing,57.0,4550.4,1970.0
3400 SAWTELLE BLVD,22,64,27402.0,Worship Facility,12.7,81.5,1959.0
12916 MOORPARK ST,7.9,Not Available,27534.0,Multifamily Housing,4.1,996.4,2005.0
14314 BURBANK BLVD,341.4,43,89600.0,Multifamily Housing,62.8,4927.3,1971.0
731 S AVERILL AVE,20.7,66,24400.0,Worship Facility,20.2,123.7,1950.0
3311 ROWENA AVE,71.5,68,24610.0,Multifamily Housing,50.7,1.1,1961.0
13005 SATICOY ST,43.9,58,48000.0,Non-Refrigerated Warehouse,13.0,62.1,1971.0
7006 STANFORD AVE,8.2,69,20200.0,Non-Refrigerated Warehouse,5.7,18.0,1926.0
2029 CENTURY PARK EAST,4328.6,72,1195173.0,Office,54.4,17376.8,1974.0
1149 S BROADWAY ST,1244.7,77,417170.0,Office,42.4,4933.4,2001.0
1324 S WALL ST,160.6,71,55530.0,Office,41.1,383.8,1992.0
12660 RIVERSIDE DR,309.8,15,46000.0,Medical Office,100.9,2390.1,1992.0
8654 PARTHENIA PL,64.5,55,22239.0,Multifamily Housing,49.0,1493.9,1971.0
1013 S LOS ANGELES ST,60.9,Not Available,7200.0,Other - Mall,120.1,210.4,1925.0
940 S ALAMEDA ST,25.7,Not Available,35300.0,Other,10.3,781.7,1963.0
700 E TEMPLE ST,471,65,118664.0,Office,59.1,6591.3,2000.0
4929 WILSHIRE BLVD,542.8,54,165130.0,Office,52.4,1401.6,1973.0
5420 RUSSELL AVE,80.5,67,33204.0,Multifamily Housing,42.3,1079.4,1957.0
5898 W VENICE BLVD,67.1,20,11376.0,Office,83.7,286.9,1963.0
600 WORLD WAY,5828.7,Not Available,451763.0,Transportation Terminal/Station,207.3,31150.0,1962.0
4533 LOS FELIZ BLVD,78,33,26496.0,Multifamily Housing,51.3,1206.6,1960.0
14710 BLYTHE ST,51.2,100,45077.0,Multifamily Housing,20.0,317.8,1962.0
807 N BUNKER HILL AVE,58,90,30380.0,Multifamily Housing,31.3,1802.8,1990.0
7240 N HAYVENHURST PL,755.4,Not Available,57492.0,Transportation Terminal/Station,231.1,24123.1,1993.0
6445 SEPULVEDA BLVD,65.3,59,21000.0,Office,45.2,231.0,1998.0
125 S AVENUE 53,69.1,43,23025.0,Multifamily Housing,51.9,1547.7,1970.0
11940 LAURELWOOD DR,76.5,57,28790.0,Multifamily Housing,45.5,1214.8,1954.0
327 S HOOVER ST,43.9,92,40858.0,Multifamily Housing,20.8,2072.1,1971.0
201 LINCOLN BLVD,756.6,41,75495.0,Supermarket/Grocery Store,151.2,6428.0,1960.0
10303 NORRIS AVE,76.8,Not Available,62588.0,Manufacturing/Industrial Plant,17.4,336.0,1990.0
249 S OCCIDENTAL BLVD,63.7,100,53356.0,Multifamily Housing,16.9,3510.6,1963.0
1313 VINE ST,416.5,80,118335.0,Office,56.5,0.0,1948.0
14322 W VALERIO ST,108.7,96,43577.0,Multifamily Housing,41.1,2886.0,1987.0
960 E 3RD ST,388.7,Not Available,95257.0,College/University,57.9,8034.1,1907.0
3380 W SAN FERNANDO RD,363.8,Not Available,85142.0,Manufacturing/Industrial Plant,61.0,377.0,1965.0
3332 N SAN FERNANDO RD,94.6,Not Available,21923.0,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",62.5,762.3,1965.0
918 N ORANGE DR,188.7,1,31188.0,Non-Refrigerated Warehouse,91.3,1125.1,1929.0
6815 GENTRY AVE,86.1,70,28841.0,Multifamily Housing,49.2,2285.3,1985.0
345 S NEW HAMPSHIRE AVE,88.6,Not Available,50472.0,Multifamily Housing,35.2,5766.0,1972.0
10641 SAN FERNANDO RD,84.4,Not Available,40657.0,Other,30.9,630.6,2007.0
2440 E 23RD ST,18.4,65,23326.0,Non-Refrigerated Warehouse,11.4,118.9,1956.0
2716 N SAN FERNANDO RD,356.7,80,38802.0,Supermarket/Grocery Store,133.0,2719.9,1995.0
16600 SAN FERNANDO MISSION BLVD,100.5,58,29199.0,Multifamily Housing,59.0,2451.4,1963.0
1901 S BUNDY DR,202.9,38,30000.0,Office,96.0,805.5,1950.0
14500 W SHERMAN CIR,510.6,100,447146.0,Multifamily Housing,16.5,3882.6,2016.0
8541 FOOTHILL BLVD,53.1,100,38579.0,Multifamily Housing,26.5,2507.5,1988.0
1626 N POINSETTIA PL,117,49,40674.0,Multifamily Housing,48.3,1250.7,1968.0
991 KNOX ST,54.3,37,42626.0,Distribution Center,18.6,555.4,1982.0
16799 SCHOENBORN ST,21.7,100,27257.0,Office,13.8,92.0,1956.0
500 S VIRGIL AVE,39,100,42000.0,Medical Office,13.2,964.4,1960.0
4610 VAN NUYS BLVD,23.7,Not Available,53542.0,Self-Storage Facility,6.3,47.0,1994.0
609 S ST. PAUL AVE,704.8,77,335000.0,Multifamily Housing,35.1,13.4,2000.0
21329 NORDHOFF ST,551.8,34,99064.0,Office,79.1,1417.9,2000.0
616 MASSELIN AVE,212.8,90,150824.0,Multifamily Housing,22.7,3841.2,1987.0
10644 EASTBORNE AVE,29.6,Not Available,25078.0,Multifamily Housing,21.4,1129.8,1974.0
417 S HILL ST,1044,50,575417.0,Multifamily Housing,27.8,7776.7,1989.0
4426 ENSIGN AVE,47.8,100,44711.0,Multifamily Housing,17.8,1713.1,1986.0
12201 W SHERMAN WAY,780.8,Not Available,45789.0,Other - Public Services,287.5,296.0,1990.0
9139 SEPULVEDA BLVD,91,80,39126.0,Multifamily Housing,41.3,4373.3,1963.0
9139 SEPULVEDA BLVD,83.8,85,39000.0,Multifamily Housing,34.7,4023.7,1963.0
8017 SELMA AVE,74,79,32706.0,Multifamily Housing,39.1,1755.7,1949.0
804 S MAIN ST,2.5,Not Available,25390.0,Retail Store,1.5,714.0,1993.0
1310 N SAN FERNANDO RD,41.8,71,64480.0,Non-Refrigerated Warehouse,9.8,137.6,1967.0
6301 OWENSMOUTH AVE,1001.8,90,322943.0,Office,44.0,4552.8,1999.0
939 N WESTERN AVE,287.8,42,22575.0,Supermarket/Grocery Store,190.1,893.0,2010.0
972 HILGARD AVE,58.1,100,36000.0,Multifamily Housing,28.6,1668.2,1980.0
1244 N ORANGE DR,63.1,99,30360.0,Multifamily Housing,33.9,1342.8,1988.0
415 GAYLEY AVE,81.4,43,33885.0,Multifamily Housing,38.1,1698.1,1963.0
15503 VENTURA BLVD,265.9,68,75000.0,Office,51.1,17051.4,1980.0
13652 CANTARA ST,1134,3,103365.0,Medical Office,171.7,3790.0,1959.0
6333 WILSHIRE BLVD,80.3,92,44432.0,Office,27.5,18084.0,1947.0
5017 AXTELL ST,35.3,99,21432.0,Multifamily Housing,27.9,729.4,1981.0
19701 HAMILTON AVE,547.6,56,122751.0,Office,67.6,1843.5,1984.0
401 OCEAN FRONT WALK,78,Not Available,21861.0,Hotel,58.7,3507.6,1914.0
925 W 34TH ST,1480.7,20,180164.0,Medical Office,127.7,6290.4,1952.0
2222 E OLYMPIC BLVD,578.6,1,47700.0,Office,183.0,3249.5,1965.0
15543 RAYEN ST,172.9,75,59382.0,Multifamily Housing,48.4,3013.9,1964.0
2054 ARGYLE AVE,48,85,22934.0,Multifamily Housing,35.5,738.3,1957.0
11937 WICKS ST,511.7,Not Available,52018.0,Manufacturing/Industrial Plant,156.3,754.2,1990.0
11439 VENTURA BLVD,192.2,73,29525.0,Senior Care Community,115.4,4544.4,1970.0
5841 W CARLTON WAY,75.5,98,53275.0,Multifamily Housing,23.0,1359.2,2013.0
11925 RIVERSIDE DR,42.6,100,40000.0,Multifamily Housing,18.7,1140.7,1986.0
5811 S BROADWAY,13.1,Not Available,27871.0,Manufacturing/Industrial Plant,7.1,152.6,1925.0
6717 DARBY AVE,3.8,100,24704.0,Multifamily Housing,2.2,1710.2,1962.0
3669 WESTWOOD BLVD,37.7,100,28062.0,Multifamily Housing,22.0,866.2,1976.0
11022 OLINDA ST,54.2,Not Available,100404.0,Self-Storage Facility,7.7,437.8,2004.0
7731 HAYVENHURST AVE,59.1,Not Available,53675.0,Manufacturing/Industrial Plant,16.6,272.3,2003.0
3241 N SAN FERNANDO RD,59.1,Not Available,35374.0,Manufacturing/Industrial Plant,23.7,926.8,1979.0
2901 S SEPULVEDA BLVD,164.1,Not Available,159159.0,Multifamily Housing,18.4,6245.5,1973.0
5466 WILSHIRE BLVD,51.9,89,28060.0,Mixed Use Property,26.2,1743.9,1928.0
3555 E WHITTIER BLVD,177.1,74,82448.0,Multifamily Housing,38.2,4340.9,2014.0
11240 SHERMAN WAY,944,1,78000.0,Non-Refrigerated Warehouse,175.3,1543.2,1980.0
302 N ALEXANDRIA AVE,50.8,56,20197.0,Multifamily Housing,42.0,1549.8,1927.0
2171 W OLYMPIC BLVD,1007.1,76,277716.0,Office,51.5,5797.4,1989.0
1602 IVAR AVE,231.8,72,114768.0,Multifamily Housing,32.3,2859.1,2006.0
4525 WILSHIRE BLVD,280.8,59,75890.0,Office,61.3,602.1,1994.0
12804 RAYMER ST,0,Not Available,30000.0,Distribution Center,1.9,41.9,1960.0
3233 W PICO BLVD,185.8,Not Available,20277.0,Residential Care Facility,154.4,1753.4,1964.0
658 VENICE BLVD,19.5,Not Available,56855.0,Self-Storage Facility,5.2,206.0,2009.0
3485 S LA CIENEGA BLVD,114.7,Not Available,74242.0,Distribution Center,22.4,280.7,1960.0
5662 LA MIRADA AVE,67.4,63,29870.0,Multifamily Housing,38.3,1550.7,1991.0
7020 STANFORD AVE,9,Not Available,30096.0,Manufacturing/Industrial Plant,4.3,11.7,1976.0
15265 W BRAND BLVD,304.3,Not Available,47289.0,Other - Public Services,107.8,3314.8,1990.0
535 S CURSON AVE,521.6,73,192306.0,Multifamily Housing,47.6,10632.1,1951.0
1401 W 6TH ST,198.5,Not Available,49885.0,Police Station,58.8,1026.2,1990.0
4930 COLDWATER CANYON AVE,69.2,49,22524.0,Multifamily Housing,50.1,1627.8,1977.0
6001 SANTA MONICA BLVD,13.7,95,20000.0,Office,10.4,59.3,1957.0
6300 VARIEL AVE,843.6,50,241112.0,Multifamily Housing,60.3,8735.8,2010.0
17777 VENTURA BLVD,105.1,80,38449.0,Office,43.0,512.4,2011.0
21701 PRAIRIE ST,242.6,Not Available,109440.0,Manufacturing/Industrial Plant,31.8,1347.2,1973.0
7700 AIRPORT BUSINESS PKWY,35,Not Available,60627.0,Other,8.2,696.1,2001.0
1650 ECHO PARK AVE,11.8,100,20889.0,Multifamily Housing,9.3,567.0,1928.0
693 SHATTO PL,43.2,99,24000.0,Multifamily Housing,32.7,1868.8,1923.0
3770 CRENSHAW BLVD,13.5,Not Available,58293.0,Self-Storage Facility,3.7,75.0,1990.0
241 S FIGUEROA ST,81.2,56,27607.0,Office,43.1,1306.8,1979.0
15501 ROSCOE BLVD,359.8,Not Available,48901.0,Automobile Dealership,114.2,1470.7,1974.0
14841 ROSCOE BLVD,131.5,31,33069.0,Multifamily Housing,67.7,3312.4,1974.0
1800 E 92ND ST,29.1,Not Available,61022.0,Multifamily Housing,7.2,2036.5,2000.0
15520 CABRITO RD,9.9,Not Available,42425.0,Other - Education,3.3,3.7,1957.0
1861 N VAN NESS AVE,55.9,61,25537.0,Multifamily Housing,35.5,1435.5,1964.0
7343 SEPULVEDA BLVD,111.6,100,75000.0,Multifamily Housing,27.5,3693.1,1963.0
19365 BUSINESS CENTER DR,31,Not Available,97211.0,Manufacturing/Industrial Plant,4.6,304.5,1977.0
19860 PLUMMER ST,38,100,89748.0,Office,6.0,1656.4,1984.0
11760 HAMLIN ST,65.5,88,29407.0,Multifamily Housing,36.2,1597.8,1992.0
2016 E 15TH ST,17.4,76,34500.0,Non-Refrigerated Warehouse,7.1,0.1,1990.0
11055 CUMPSTON ST,44.2,89,21224.0,Multifamily Housing,33.6,1431.0,2014.0
847 S SHENANDOAH ST,44.1,50,20100.0,Multifamily Housing,36.9,929.8,1987.0
15525 NORDHOFF ST,86.7,65,32297.0,Multifamily Housing,43.9,2182.1,1964.0
6200 W 3RD ST,7.5,Not Available,32490.0,Parking,3.3,0.0,1951.0
12580 SATICOY ST,117.1,Not Available,68146.0,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",25.3,600.3,1976.0
11022 OLINDA ST,59.5,Not Available,100404.0,Self-Storage Facility,8.6,292.5,2004.0
543 W 135TH ST,155.5,Not Available,30000.0,Manufacturing/Industrial Plant,75.3,183.3,1970.0
8110 REDLANDS ST,50.9,100,36128.0,Multifamily Housing,25.1,1358.5,1969.0
515 S ALEXANDRIA AVE,9.2,100,24239.0,Multifamily Housing,5.4,1154.6,1991.0
1149 W 190TH ST,256.1,Not Available,63233.0,Office,57.5,744.0,1983.0
964 MENLO AVE,43.3,57,20574.0,Multifamily Housing,33.6,1092.2,1961.0
458 N HAYWORTH AVE,4.3,Not Available,27592.0,Multifamily Housing,2.2,13.0,1962.0
535 S NORMANDIE AVE,6.3,Not Available,22101.0,Multifamily Housing,4.1,2242.9,1956.0
15200 W SUNSET BLVD,93.7,Not Available,30267.0,Mixed Use Property,43.9,626.4,1986.0
14340 ADDISON ST,75.9,88,41500.0,Multifamily Housing,29.8,1744.5,1962.0
423 N HELIOTROPE DR,104.7,78,49480.0,Multifamily Housing,42.3,4630.4,1974.0
11935 KLING ST,82.5,69,28999.0,Multifamily Housing,48.8,1098.1,1965.0
6415 DE SOTO AVE,34.7,Not Available,45728.0,Self-Storage Facility,10.8,317.2,1974.0
1201 W OLYMPIC BLVD,682.1,15,337244.0,Distribution Center,29.4,830.6,1957.0
7501 N TYRONE AVE,73.2,41,50187.0,Non-Refrigerated Warehouse,21.3,689.0,1962.0
4332 W ADAMS BLVD,57.8,76,21118.0,Multifamily Housing,46.5,1121.1,2010.0
814 S WOOSTER ST,16,100,23937.0,Multifamily Housing,11.5,633.4,1963.0
4616 WILLIS AVE,106.6,93,52048.0,Multifamily Housing,34.3,1398.1,2000.0
5757 W CENTURY BLVD,1008.6,95,530020.0,Office,28.5,2984.0,1987.0
15910 VENTURA BLVD,857.3,77,231893.0,Office,59.5,2769.3,1970.0
14649 SATICOY ST,93.3,67,28064.0,Multifamily Housing,55.4,2384.8,2005.0
5729 S LINDENHURST AVE,11.2,Not Available,65933.0,Parking,2.4,0.0,1951.0
836 S BERENDO ST,51,98,28850.0,Multifamily Housing,28.8,1095.1,1990.0
11131 ROSE AVE,71.7,100,80696.0,Multifamily Housing,16.0,843.1,1959.0
7900 NELSON RD,195.5,Not Available,202905.0,Manufacturing/Industrial Plant,14.6,937.3,1998.0
12404 WEDDINGTON ST,59,91,23572.0,Multifamily Housing,42.9,1416.1,1958.0
2600 OVERLAND AVE,148.5,46,59369.0,Multifamily Housing,41.7,2302.5,1986.0
19851 W NORDHOFF PL,165.7,55,162766.0,Non-Refrigerated Warehouse,14.7,1837.2,2009.0
2007 W 3RD ST,97.7,Not Available,37274.0,Multifamily Housing,37.2,2838.9,1914.0
5150 WOODMAN AVE,78.7,49,21790.0,Multifamily Housing,61.0,1100.4,1960.0
210 W 7TH ST,559.9,80,267890.0,Multifamily Housing,34.9,9830.9,1913.0
705 W 9TH ST,1109.1,5,267042.0,Multifamily Housing,64.7,6955.4,2010.0
1860 N FULLER AVE,236.2,82,88480.0,Multifamily Housing,43.3,2870.3,1987.0
21751 W VICTORY BLVD,55.4,100,120000.0,Retail Store,6.6,19.1,1964.0
3545 SAWTELLE BLVD,3.6,Not Available,25226.0,Multifamily Housing,2.0,1154.9,1973.0
13040 SAN FERNANDO RD,33.7,87,51567.0,Non-Refrigerated Warehouse,9.3,221.2,1969.0
20421 SATICOY ST,40.6,Not Available,32252.0,Multifamily Housing,23.4,1826.0,1964.0
414 S VIRGIL AVE,81.1,100,59309.0,Multifamily Housing,23.7,2192.3,1979.0
14400 ADDISON ST,18.5,100,72490.0,Multifamily Housing,3.6,1087.7,1963.0
21051 GRESHAM ST,284.8,32,125252.0,Multifamily Housing,37.4,3727.5,1981.0
9335 LAUREL CANYON BLVD,17.5,Not Available,22275.0,Manufacturing/Industrial Plant,11.9,48.6,1971.0
9207 ETON AVE,73.4,65,26207.0,Office,39.8,575.2,2000.0
9655 SEPULVEDA BLVD,326.1,Not Available,27277.0,Residential Care Facility,197.6,4467.7,1964.0
505 S BARRINGTON AVE,22.3,100,28147.0,Multifamily Housing,11.3,2054.2,1958.0
3913 S VERMONT AVE,224.6,83,95894.0,Multifamily Housing,36.3,3254.0,2000.0
14333 FRIAR ST,3.7,Not Available,6772.0,Multifamily Housing,7.8,7.6,1979.0
4585 ELECTRONICS PL,380.1,Not Available,182766.0,Performing Arts,30.4,721.1,1965.0
550 S HOPE ST,1248.2,97,655641.0,Office,27.0,4652.7,1990.0
3270 OAKSHIRE DR,84.6,72,27237.0,Multifamily Housing,53.9,950.0,1963.0
15329 VOSE ST,54,91,24952.0,Multifamily Housing,36.0,1021.1,2000.0
20802 PLUMMER ST,54.4,Not Available,25793.0,Manufacturing/Industrial Plant,31.0,339.6,1977.0
6554 HOLLYWOOD BLVD,68.3,78,20693.0,Retail Store,54.4,432.4,1933.0
1125 N ORANGE DR,77.8,93,47912.0,Multifamily Housing,26.3,1246.3,1921.0
1950 TAMARIND AVE,234.8,68,100682.0,Multifamily Housing,39.4,1597.5,1974.0
3535 E WHITTIER BLVD,62.3,100,76449.0,Multifamily Housing,13.1,900.7,2014.0
2448 N EASTERN AVE,74.6,56,30202.0,Multifamily Housing,40.8,2004.0,1987.0
14423 VAN NUYS BLVD,312.3,Not Available,27200.0,Strip Mall,196.9,4087.4,1957.0
14140 VENTURA BLVD,152.7,76,52797.0,Office,41.1,507.8,1985.0
1325 RIO VISTA AVE,25.8,57,20000.0,Non-Refrigerated Warehouse,18.3,47.9,1950.0
15477 VENTURA BLVD,22.2,100,27763.0,Medical Office,12.9,516.9,1977.0
8834 TOPANGA CANYON BLVD,4.4,100,28284.0,Multifamily Housing,2.2,2952.1,1971.0
327 S NORMANDIE AVE,75.4,50,28621.0,Multifamily Housing,45.0,2428.2,1960.0
11505 W OLYMPIC BLVD,24.3,Not Available,8378.0,Fire Station,46.0,514.2,2010.0
704 S SPRING ST,171,Not Available,61946.0,Manufacturing/Industrial Plant,41.6,2202.3,1925.0
10435 S SEPULVEDA BLVD,26.8,Not Available,8853.0,Fire Station,43.0,0.0,2001.0
5858 WILSHIRE BLVD,148.2,38,31482.0,Office,77.2,614.9,1951.0
1420 S OAKHURST DR,57,66,22114.0,Multifamily Housing,42.4,1.5,1968.0
7150 TAMPA AVE,3296,Not Available,327000.0,Other - Specialty Hospital,167.3,13064.0,1986.0
21021 VENTURA BLVD,252.5,66,56826.0,Office,73.4,575.1,1970.0
6736 CLEON AVE,110.5,82,51121.0,Multifamily Housing,36.9,3.0,2010.0
5850 CANOGA AVE,398.7,74,93464.0,Office,64.9,5140.6,1979.0
16940 DEVONSHIRE ST,602.2,51,46197.0,Supermarket/Grocery Store,191.2,2787.7,1956.0
5300 SANTA MONICA BLVD,194.5,63,58377.0,Medical Office,47.3,706.9,1962.0
5521 HAROLD WAY,108.8,96,66705.0,Multifamily Housing,27.2,3183.0,2003.0
4378 SEPULVEDA BLVD,90,85,45108.0,Multifamily Housing,31.8,1239.5,1986.0
7029 WOODLEY AVE,160.5,91,72015.0,Multifamily Housing,36.6,3031.2,1988.0
16025 VENTURA BLVD,81.4,96,54190.0,Senior Care Community,22.7,87.0,2018.0
14440 DICKENS ST,91.4,100,39462.0,Multifamily Housing,38.2,1581.8,1985.0
1121 JAMES M WOOD BLVD,0.1,Not Available,36356.0,Parking,0.0,1450.9,1957.0
6955 KESTER AVE,67.9,76,33109.0,Multifamily Housing,32.7,1324.8,1962.0
241 S FIGUEROA ST,80.2,53,27615.0,Office,45.2,1112.7,1979.0
7821 HAYVENHURST AVE,28,72,40387.0,Non-Refrigerated Warehouse,9.9,534.2,2003.0
4221 WILSHIRE BLVD,365.5,85,144123.0,Office,36.0,2264.4,1982.0
18540 PLUMMER ST,215.8,74,91307.0,Multifamily Housing,39.8,5528.1,1973.0
1601 E OLYMPIC BLVD,868.6,2,138263.0,Refrigerated Warehouse,89.2,4132.2,1985.0
7627 LAUREL CANYON BLVD,9.2,Not Available,24509.0,Multifamily Housing,5.4,2130.5,1985.0
516 N HARVARD BLVD,57.8,88,21096.0,Multifamily Housing,46.5,1120.0,1928.0
5600 W CENTURY BLVD,74.6,Not Available,363710.0,Other,3.6,637.6,1949.0
9440 LURLINE AVE,22.1,84,31824.0,Distribution Center,10.0,442.8,1978.0
701 E 3RD ST,111,85,51280.0,Office,33.1,336.6,1924.0
7300 LANKERSHIM BLVD,174,96,122867.0,Multifamily Housing,20.1,6823.0,1970.0
8665 BURTON WAY,199.6,87,80390.0,Multifamily Housing,39.5,2589.8,1989.0
8440 VAN NUYS BLVD,55.8,85,22988.0,Bank Branch,34.5,156.3,1956.0
4131 GLENCOE AVE,51.9,Not Available,22929.0,Manufacturing/Industrial Plant,35.2,86.0,1959.0
4141 SANTA MONICA BLVD,156.1,19,30101.0,Hotel,85.0,890.9,1986.0
9628 RESEDA BLVD,116.2,79,38425.0,Multifamily Housing,50.6,2247.1,1976.0
1101 S HILL ST,21.5,76,81993.0,Non-Refrigerated Warehouse,3.8,0.0,1955.0
633 N ROSSMORE AVE,165.4,81,89890.0,Multifamily Housing,29.2,1947.2,1987.0
8521 INTERNATIONAL AVE,249.7,72,88600.0,Multifamily Housing,47.7,8156.8,1970.0
1625 STONER AVE,29.3,Not Available,42500.0,Multifamily Housing,12.6,1251.7,1964.0
12311 SHERMAN WAY,20.6,Not Available,24000.0,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",12.2,60.1,1974.0
1258 S LA CIENEGA BLVD,0.7,Not Available,29296.0,Strip Mall,0.4,611.3,1950.0
19301 PACIFIC GATEWAY DR,136.1,51,160000.0,Distribution Center,12.1,1159.1,1976.0
8849 CEDROS AVE,56.9,64,21854.0,Multifamily Housing,43.1,1772.9,1964.0
1304 WEST SECOND ST,555.8,86,238930.0,Multifamily Housing,38.2,9180.8,2008.0
4550 W SUNSET BLVD,789.4,Not Available,115419.0,Office,103.2,14171.8,1989.0
